Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Extracted_Features
CHEM,105,36676,General Chemistry Lab II,0,46,2,2,2,0,2,1,0,0,0,0,0,0,0.83,0
CHEM,105,36679,General Chemistry Lab II,0,47,0,1,0,0,1,0,1,0,0,0,0,0,0.91,0
CHEM,105,36686,General Chemistry Lab II,0,44,2,1,0,0,0,0,0,0,0,0,0,0,1.97,1
CHEM,105,36689,General Chemistry Lab II,0,36,1,1,0,0,0,1,0,0,0,0,0,0,1.92,1
CHEM,105,41955,General Chemistry Lab II,0,45,2,2,0,0,0,0,0,0,0,0,1,0,1.88,1
CHEM,105,42871,General Chemistry Lab II,0,52,1,2,0,0,1,0,0,0,0,0,1,0,1.87,1
CHEM,105,45645,General Chemistry Lab II,0,51,1,1,1,0,1,1,0,0,0,0,0,0,1.9,1
CHEM,105,48958,General Chemistry Lab II,0,42,2,1,1,1,0,0,0,0,0,0,0,0,2.92,4
CHEM,105,48961,General Chemistry Lab II,0,46,2,3,0,0,0,0,1,1,0,0,0,0,2.86,4
CHEM,105,48963,General Chemistry Lab II,0,52,1,2,0,0,0,0,0,0,0,0,0,0,2.97,4
CHEM,199,65502,Undergraduate Open Seminar,3,16,0,0,0,0,1,0,0,0,0,0,1,0,2.73,3
CHEM,199,31588,Undergraduate Open Seminar,30,267,3,4,11,1,3,2,1,1,0,0,2,4,2.88,4
CHEM,202,36229,Accelerated Chemistry I,5,27,18,26,25,23,18,37,21,10,9,4,15,8,2.49,2
CHEM,203,36265,Accelerated Chemistry Lab I,8,21,9,6,26,6,7,18,9,0,1,0,9,1,2.76,4
CHEM,203,38842,Accelerated Chemistry Lab I,6,24,12,14,32,6,4,19,7,0,1,0,4,3,2.97,4
CHEM,222,29906,Quantitative Analysis Lecture,4,41,31,23,8,9,2,3,0,0,0,0,1,0,3.52,4
CHEM,223,31611,Quantitative Analysis Lab,6,35,1,3,31,0,1,17,0,0,4,0,0,0,3.17,4
CHEM,232,55461,Elementary Organic Chemistry I,9,41,18,11,86,28,32,85,29,24,61,7,26,10,2.25,2
CHEM,232,56846,Elementary Organic Chemistry I,1,6,2,3,6,8,3,17,4,6,8,1,2,2,2.22,2
CHEM,232,66361,Elementary Organic Chemistry I,7,20,7,11,17,10,2,9,3,0,2,0,0,0,3.16,4
CHEM,233,36313,Elementary Organic Chem Lab I,19,46,35,37,40,6,6,3,2,0,1,1,2,1,3.4,4
CHEM,233,36315,Elementary Organic Chem Lab I,13,35,25,24,26,9,5,9,1,2,2,0,1,2,3.3,4
CHEM,233,36317,Elementary Organic Chem Lab I,8,20,24,14,14,4,2,2,0,0,1,0,0,0,3.47,4
CHEM,236,36332,Fundamental Organic Chem I,10,25,16,18,45,11,13,31,25,0,13,0,3,1,2.71,3
CHEM,237,51012,Structure and Synthesis,6,33,13,13,34,7,6,17,2,2,5,1,3,1,3.01,4
CHEM,237,36374,Structure and Synthesis,5,15,7,11,22,3,2,3,1,1,2,0,0,1,3.22,4
CHEM,312,29907,Inorganic Chemistry,5,7,3,5,10,3,2,4,0,0,2,0,2,2,2.98,4
CHEM,315,31620,Instrumental Chem Systems Lab,2,40,4,5,40,1,3,35,1,0,2,0,2,0,2.98,4
CHEM,317,58374,Inorganic Chemistry Lab,1,10,5,4,5,3,3,0,0,0,0,0,0,0,3.41,4
CHEM,332,29909,Elementary Organic Chem II,11,16,12,11,19,17,7,11,7,12,8,5,15,3,2.44,2
CHEM,420,29908,Instrumental Characterization,3,28,18,23,19,8,8,27,14,0,4,0,1,0,2.91,4
CHEM,436,29914,Fundamental Organic Chem II,1,3,2,4,5,1,2,1,3,0,1,0,4,0,2.48,2
CHEM,440,31624,Physical Chemistry Principles,3,9,4,3,9,2,2,4,1,0,0,0,0,1,3.23,4
CHEM,440,31626,Physical Chemistry Principles,1,23,27,26,15,11,4,3,0,0,0,0,0,0,3.38,4
CHEM,442,31627,Physical Chemistry I,2,8,4,4,4,1,1,0,1,0,0,0,3,0,3.1,4
CHEM,442,31628,Physical Chemistry I,1,23,9,2,18,5,3,1,1,0,1,0,1,0,3.3,4
CHEM,442,62728,Physical Chemistry I,1,35,7,7,21,0,0,1,0,0,0,0,0,0,3.58,4
CHEM,512,29928,Advanced Inorganic Chemistry,1,12,3,3,12,0,0,0,0,0,0,0,0,0,3.52,4
CHEM,532,29946,Physical Organic Chemistry,1,12,5,5,10,2,1,0,0,0,0,0,0,1,3.46,4
CHEM,534,42841,Advanced Organic Synthesis,3,7,1,2,6,2,0,1,0,0,0,0,0,2,3.44,4
CHEM,544,29953,Statistical Thermodynamics,3,12,4,1,4,0,0,0,0,0,0,0,0,0,3.75,4
CHEM,570,60383,Concepts in Chemical Biology,1,5,6,6,8,2,0,0,0,0,0,0,0,0,3.41,4
CHEM,584,46582,Introduction to Materials Chem,0,18,6,11,10,1,0,1,0,0,0,0,0,1,3.52,4
CHLH,100,33609,Contemporary Health,12,10,8,11,4,0,2,1,1,2,0,0,0,0,3.47,4
CHLH,100,33611,Contemporary Health,6,10,5,6,2,0,1,0,0,1,0,0,0,0,3.61,4
CHLH,100,33615,Contemporary Health,7,9,8,4,6,1,0,1,1,0,1,0,0,0,3.47,4
CHLH,100,33618,Contemporary Health,11,13,10,4,5,2,2,0,0,0,0,0,0,0,3.64,4
CHLH,100,59389,Contemporary Health,77,213,135,58,82,37,22,18,13,2,6,4,12,1,3.41,4
CHLH,101,33657,Introduction to Public Health,2,12,10,9,10,3,2,1,1,0,0,0,0,0,3.38,4
CHLH,101,33661,Introduction to Public Health,4,6,2,5,3,1,0,0,0,1,0,0,2,0,3.21,4
CHLH,101,33667,Introduction to Public Health,2,18,8,5,7,3,1,3,1,0,1,1,0,0,3.33,4
CHLH,101,33669,Introduction to Public Health,4,13,6,11,7,4,1,0,0,0,0,0,1,0,3.42,4
CHLH,101,33675,Introduction to Public Health,1,19,4,0,6,0,1,0,1,1,1,0,0,0,3.5,4
CHLH,101,33679,Introduction to Public Health,6,12,10,1,2,0,1,0,0,0,1,0,0,0,3.68,4
CHLH,101,33680,Introduction to Public Health,5,9,12,3,2,0,0,1,1,0,0,0,1,0,3.52,4
CHLH,101,33681,Introduction to Public Health,1,9,9,4,4,4,1,0,0,0,0,0,1,1,3.37,4
CHLH,110,66746,Intro to the Health Sciences,8,6,3,4,1,1,0,0,1,1,2,0,1,0,3.25,4
CHLH,125,59577,Orientation KIN & Comm Health,6,108,0,0,9,0,0,4,0,0,0,0,2,0,3.81,4
CHLH,199,31590,Campus Acq Rape Educ (CARE),3,22,7,4,2,0,1,0,0,0,0,0,0,0,3.78,4
CHLH,200,29988,Mental Health,0,36,0,0,20,0,0,8,0,0,0,0,2,0,3.33,4
CHLH,206,33686,Human Sexuality,92,39,36,10,6,8,2,2,3,0,0,2,5,0,3.63,4
CHLH,206,57350,Human Sexuality,12,233,160,77,101,29,14,20,9,5,7,3,18,2,3.35,4
CHLH,210,29992,Community Health Organizations,36,31,30,17,10,3,2,1,1,0,0,0,0,0,3.67,4
CHLH,243,33729,Drug Use and Abuse,0,66,0,0,35,0,0,8,0,0,3,0,0,0,3.46,4
CHLH,243,33730,Drug Use and Abuse,0,52,0,0,38,0,0,16,0,0,8,0,0,0,3.18,4
CHLH,243,57351,Drug Use and Abuse,287,138,41,13,17,45,60,38,19,10,6,7,17,1,3.35,4
CHLH,250,29994,Health Care Systems,12,30,25,15,11,4,4,3,1,1,0,0,0,0,3.51,4
CHLH,260,38826,Introduction to Medical Ethics,12,59,12,14,21,5,2,2,1,0,1,0,0,1,3.58,4
CHLH,260,64915,Introduction to Medical Ethics,12,34,18,5,11,1,4,2,0,0,2,0,0,0,3.57,4
CHLH,274,29997,Introduction to Epidemiology,14,15,18,13,16,21,11,15,11,3,0,0,2,0,2.93,4
CHLH,304,31598,Foundations of Health Behavior,50,36,15,5,4,6,3,1,3,2,1,0,6,3,3.5,4
CHLH,380,47340,Orientation to Internship,0,100,5,6,0,2,0,0,2,0,0,0,0,0,3.89,4
CHLH,404,58803,Gerontology,0,27,0,0,2,0,0,1,0,0,3,0,1,0,3.52,4
CHLH,410,30000,Public Health Practice,27,37,24,15,2,8,1,5,0,0,0,0,3,0,3.56,4
CHLH,415,62031,International Health,3,26,13,8,3,1,3,1,1,1,0,0,1,1,3.52,4
CHLH,421,30003,Health Data Analysis,21,36,23,9,3,1,2,0,0,1,1,0,4,1,3.57,4
CHLH,455,30011,Health Services Financing,18,30,17,5,13,4,3,0,1,0,0,0,0,0,3.62,4
CHLH,456,35550,Organization of Health Care,20,23,9,6,9,1,2,0,4,0,0,0,1,1,3.55,4
CHLH,457,33625,Health Planning,8,28,7,9,7,4,1,0,0,0,0,0,0,0,3.65,4
CHLH,458,30015,Health Administration,3,7,29,10,13,14,2,9,0,0,2,0,1,0,3.12,4
CHLH,540,59884,Health Behavior: Theory,0,22,0,0,2,0,0,0,0,0,0,0,0,0,3.92,4
CHLH,573,61101,Biostatistics in Public Health,0,2,6,11,7,0,0,0,0,0,0,0,0,0,3.37,4
CHLH,594,65721,Special Topics,4,17,1,0,1,0,0,0,0,0,0,0,0,0,3.94,4
CHP,199,67350,Special Topics:Honors Uncommon,9,16,1,1,1,0,0,1,0,0,0,0,0,0,3.86,4
CI,210,66096,Intro to Digital Learning Env,0,13,7,2,0,0,0,0,0,0,0,0,0,0,3.83,4
CI,403,35708,Tchg Diverse High School Stu,0,18,1,0,5,0,0,0,0,0,0,0,0,0,3.78,4
CI,403,36449,Tchg Diverse High School Stu,6,14,0,2,0,1,0,0,0,0,0,0,0,0,3.88,4
CI,405,31474,Intro Tchg Elem Age Children,1,13,8,0,0,0,0,0,2,0,0,0,0,0,3.7,4
CI,405,31475,Intro Tchg Elem Age Children,0,10,8,4,4,1,0,0,0,0,0,0,1,0,3.48,4
CI,406,31481,Thry Prac in Elem Schl Tch I,0,20,2,4,2,0,0,0,0,0,0,0,0,0,3.81,4
CI,406,31484,Thry Prac in Elem Schl Tch I,0,8,4,3,2,1,3,0,0,0,0,0,0,0,3.44,4
CI,430,51091,Teaching Children Mathematics,1,8,11,8,0,0,0,0,0,0,0,0,0,0,3.68,4
CI,430,51241,Teaching Children Mathematics,7,12,5,0,0,1,0,0,0,0,0,0,0,0,3.88,4
CI,433,35727,Found of Bilingual Educ,0,27,4,1,1,0,0,0,0,0,0,0,0,0,3.91,4
CI,433,64952,Found of Bilingual Educ,0,18,1,0,2,1,1,0,0,0,0,0,0,0,3.77,4
CI,447,65634,Iss Prac in Address Diversity,0,19,2,1,0,0,0,0,0,0,0,0,0,0,3.94,4
CI,450,64404,Tchg Elem Science I,0,4,5,3,3,5,1,0,0,0,0,0,0,0,3.28,4
CI,471,43075,Princ Prac Foster Indep Rdg,2,9,5,6,5,0,2,0,0,0,0,0,0,0,3.52,4
CI,476,66084,Teach Elem & Mid Lang Arts,0,23,2,1,0,0,0,0,0,0,0,0,0,0,3.95,4
CI,476,66085,Teach Elem & Mid Lang Arts,0,20,4,2,0,0,1,1,0,0,0,0,0,0,3.77,4
CI,476,66087,Teach Elem & Mid Lang Arts,0,3,5,3,3,2,3,0,2,0,0,0,0,0,3.1,4
CI,550,35738,Methods of Educational Inquiry,0,27,9,6,7,0,0,0,0,0,0,0,0,0,3.71,4
CLCV,100,30030,Vocab Building-GRK & LAT Roots,0,8,4,3,6,2,0,1,0,0,1,0,0,1,3.32,4
CLCV,102,39445,Medical Terms-GRK & LAT Roots,22,19,12,4,7,6,5,2,1,1,0,0,1,0,3.46,4
CLCV,111,30033,Mythology of Greece and Rome,2,20,5,8,22,4,5,13,7,0,1,7,0,2,2.82,4
CLCV,114,30039,Introduction to Greek Culture,1,23,13,20,15,18,14,19,5,7,3,2,12,1,2.61,3
CLCV,115,33767,Mythology of Greece and Rome,1,19,0,1,5,1,0,2,0,0,0,0,0,0,0.62,0
CLCV,115,33773,Mythology of Greece and Rome,0,16,0,0,7,1,0,4,0,0,0,0,0,0,0.42,0
CLCV,115,33775,Mythology of Greece and Rome,0,12,3,2,8,0,1,2,0,0,1,0,0,0,0.34,0
CLCV,115,33777,Mythology of Greece and Rome,0,13,1,0,7,1,1,1,1,0,0,0,1,0,0.28,0
CLCV,115,33781,Mythology of Greece and Rome,0,20,1,0,6,0,0,0,0,0,0,0,0,0,0.77,0
CLCV,115,33786,Mythology of Greece and Rome,1,13,2,1,10,1,0,1,0,0,0,0,0,0,0.49,0
CLCV,115,33796,Mythology of Greece and Rome,0,4,3,2,14,3,0,3,0,0,0,0,0,0,1.09,0
CLCV,115,33741,Mythology of Greece and Rome,0,23,0,0,1,1,0,2,0,0,0,0,0,0,1.77,1
CLCV,115,33745,Mythology of Greece and Rome,0,8,1,4,7,1,0,5,1,0,0,0,1,0,1.01,0
CLCV,115,40204,Mythology of Greece and Rome,1,13,2,0,6,2,1,4,0,0,0,0,0,0,1.35,0
CLCV,115,40205,Mythology of Greece and Rome,0,8,2,0,13,1,1,0,0,0,0,0,1,0,1.21,0
CLCV,115,40206,Mythology of Greece and Rome,1,16,2,2,4,1,1,1,0,0,0,0,0,0,1.61,1
CLCV,115,40207,Mythology of Greece and Rome,1,15,2,1,10,0,1,0,0,0,0,0,0,0,2.57,3
CLCV,115,38978,Mythology of Greece and Rome,0,7,3,2,10,1,1,2,0,0,0,0,3,0,2.92,4
CLCV,115,38911,Mythology of Greece and Rome,0,12,1,1,12,0,0,2,0,0,0,0,0,0,3.39,4
CLCV,115,38914,Mythology of Greece and Rome,0,14,0,0,8,0,1,1,0,0,1,0,0,0,3.41,4
CLCV,115,41179,Mythology of Greece and Rome,0,13,0,0,10,0,1,0,0,1,0,0,0,0,3.43,4
CLCV,160,63183,Ancient Greek & Roman Religion,2,7,3,2,3,2,1,1,0,0,0,0,1,0,3.29,4
CLCV,220,33445,History of Ancient Greece,0,3,8,9,1,1,0,1,2,0,0,0,0,1,3.29,4
CLCV,231,58966,Development of Ancient Cities,5,0,2,2,5,1,0,2,2,1,1,0,0,0,2.92,4
CLCV,240,33544,Sex & Gender in Antiquity,0,9,4,5,2,1,0,1,1,0,0,0,0,0,3.46,4
CMN,102,53390,Intro to Comm Theory & Res,25,66,47,47,61,26,26,14,3,3,2,0,2,1,3.25,4
CMN,113,53440,Small Group Communication,0,4,7,0,3,4,3,0,2,0,0,0,0,0,3.12,4
CMN,113,53439,Small Group Communication,4,7,5,3,4,2,1,0,0,1,0,0,1,0,3.33,4
CMN,211,53450,Business Communication,0,7,2,5,2,2,1,1,1,0,0,0,0,1,3.3,4
CMN,211,53451,Business Communication,0,5,5,3,0,5,0,2,3,0,1,1,0,0,2.89,4
CMN,211,53452,Business Communication,0,17,6,1,0,0,0,0,0,0,0,0,0,0,3.89,4
CMN,212,53453,Intro to Organizational Comm,2,7,7,1,2,6,2,1,1,0,0,0,0,0,3.29,4
CMN,212,53454,Intro to Organizational Comm,3,7,3,7,3,0,1,2,0,0,1,0,0,0,3.36,4
CMN,212,53455,Intro to Organizational Comm,6,4,5,8,3,1,1,0,1,0,0,1,0,0,3.38,4
CMN,212,53456,Intro to Organizational Comm,2,8,4,1,5,2,2,0,1,1,1,0,1,0,3.11,4
CMN,220,53459,Communicating Public Policy,0,6,9,1,0,5,0,0,1,0,0,0,0,0,3.43,4
CMN,230,53467,Intro to Interpersonal Comm,34,56,52,23,35,13,4,4,1,1,3,1,2,0,3.45,4
CMN,232,53464,Intro to Intercultural Comm,4,15,3,2,0,0,2,1,0,0,0,0,0,0,3.72,4
CMN,232,61114,Intro to Intercultural Comm,3,5,5,5,4,0,2,1,1,0,0,0,0,0,3.36,4
CMN,260,53992,Intro to Health Communication,1,5,8,6,2,3,1,1,0,0,0,0,0,0,3.4,4
CMN,260,53993,Intro to Health Communication,1,11,7,4,3,1,0,0,1,0,0,0,0,0,3.58,4
CMN,260,61727,Intro to Health Communication,0,7,6,3,7,2,2,1,0,0,0,0,0,0,3.32,4
CMN,260,64495,Intro to Health Communication,4,6,5,7,3,4,1,0,0,0,0,0,0,0,3.46,4
CMN,277,53476,Intro to Mediated Comm,14,14,7,10,13,6,6,10,0,0,1,0,1,0,3.18,4
CMN,280,53991,Comm Technology & Society,1,4,8,4,5,3,0,2,1,0,1,0,0,0,3.18,4
CMN,321,53485,Strategies of Persuasion,0,9,0,6,14,5,6,18,1,3,6,2,8,0,2.23,2
CMN,323,53495,Argumentation,0,17,3,0,1,0,0,0,0,0,0,0,0,0,3.91,4
CMN,336,53994,Family Communication,0,6,14,3,1,0,4,0,0,0,0,0,0,0,3.49,4
CMN,336,53995,Family Communication,4,8,4,6,4,1,1,1,0,0,0,0,1,0,3.39,4
CMN,336,61387,Family Communication,6,14,3,3,1,1,0,1,0,0,1,0,0,0,3.66,4
CMN,336,61388,Family Communication,5,13,4,2,2,1,0,0,0,0,0,0,0,0,3.78,4
CMN,336,65091,Family Communication,2,5,2,6,5,3,2,2,1,0,0,0,0,0,3.17,4
CMN,336,65092,Family Communication,1,2,5,4,5,2,3,0,3,2,0,0,1,0,2.81,4
CMN,340,61773,Visual Politics,0,11,6,3,2,2,0,2,2,0,0,1,0,0,3.29,4
CMN,340,62002,Visual Politics,0,12,6,3,1,1,0,1,1,0,0,0,0,0,3.57,4
CMN,340,65085,Visual Politics,0,9,11,3,3,3,1,0,0,0,0,0,0,0,3.52,4
CMN,345,67165,Visual Media Effects,0,3,1,3,10,3,3,6,0,3,0,0,0,0,2.71,3
CMN,368,56053,Sexual Communication,12,100,10,11,59,4,4,27,0,0,6,0,7,1,3.24,4
CMN,370,66171,Political Economy of Comm,2,5,9,3,0,1,0,0,0,0,0,0,1,0,3.51,4
CMN,377,64499,Propaganda and Modern Society,0,11,8,3,3,4,1,2,0,0,0,0,1,0,3.31,4
CMN,377,64500,Propaganda and Modern Society,1,8,4,7,5,3,1,2,1,1,1,0,1,0,3.07,4
CMN,396,53999,Org Comm & Diversity,2,1,5,11,4,3,4,0,0,1,0,0,0,1,3.15,4
CMN,396,53504,Commmunicating for Innovation,0,7,10,9,5,0,0,4,0,0,0,0,0,0,3.36,4
CMN,396,66408,Leadership Comm Theory/Pract,0,18,3,2,0,0,0,0,0,0,0,0,0,1,3.9,4
CMN,410,64501,Workplace Comm Technology,0,13,6,4,6,1,2,0,0,0,0,0,0,0,3.55,4
CMN,421,53522,Persuasion Theory & Research,0,3,3,2,6,2,2,4,1,1,0,1,0,0,2.81,4
CMN,429,53527,Race and the Mass Media,0,3,1,1,6,2,1,4,2,2,1,0,1,0,2.52,3
CMN,429,58707,Race and the Mass Media,3,5,3,3,0,5,3,1,1,0,0,0,0,0,3.24,4
CMN,435,54921,Adv Interpersonal Comm,1,12,7,1,5,0,0,0,0,0,1,0,1,0,3.47,4
CMN,435,54922,Adv Interpersonal Comm,0,10,2,7,4,3,0,0,2,0,1,0,0,0,3.28,4
CMN,464,55637,Health Communication Campaigns,2,11,9,8,9,6,1,1,2,0,0,0,0,1,3.34,4
CMN,476,64839,Commercialism and the Public,0,8,10,5,5,1,1,0,0,0,0,0,0,0,3.52,4
CPSC,112,31645,Introduction to Crop Sciences,8,26,15,11,16,5,3,4,1,0,0,0,0,0,3.43,4
CPSC,213,58408,Evolution in Action,24,22,11,17,25,4,5,19,0,0,3,0,13,4,2.93,4
CPSC,215,60263,The Prairie and Bioenergy,2,6,4,3,6,1,0,0,0,0,0,0,0,1,3.52,4
CPSC,226,33543,Introduction to Weed Science,2,12,1,2,19,0,0,16,3,0,2,1,0,1,2.81,4
CPSC,270,33486,Applied Entomology,3,8,0,3,2,2,1,1,0,0,0,0,1,0,3.32,4
CPSC,419,58725,Midwest Agricultural Practices,0,29,3,0,1,0,0,0,0,0,0,0,1,0,3.82,4
CPSC,426,30084,Weed Mgt in Agronomic Crops,0,19,0,0,11,0,0,2,0,0,1,0,0,0,3.45,4
CPSC,437,55676,Principles of Agroecology,6,12,0,5,3,0,2,1,0,0,0,0,0,0,3.6,4
CPSC,440,33573,Applied Statistical Methods I,1,29,29,10,17,11,3,6,1,3,0,1,3,1,3.21,4
CPSC,452,30076,Advanced Plant Genetics,1,8,6,7,1,1,1,0,0,0,0,0,0,0,3.57,4
CS,100,30094,Freshman Orientation,0,279,0,5,11,0,1,6,0,0,3,0,6,1,3.8,4
CS,101,35879,Intro Computing: Engrg & Sci,93,154,124,67,72,36,39,26,11,10,15,14,21,2,3.19,4
CS,105,35823,Intro Computing: Non-Tech,125,191,109,87,76,25,15,8,6,4,2,1,11,1,3.51,4
CS,125,35876,Intro to Computer Science,38,60,24,12,14,20,11,14,3,1,1,1,1,0,3.39,4
CS,125,35878,Intro to Computer Science,33,55,26,13,28,14,13,4,3,1,0,2,1,1,3.41,4
CS,125,50158,Intro to Computer Science,32,63,28,9,21,15,12,9,3,1,0,0,1,1,3.44,4
CS,126,66322,Software Design Studio,4,23,0,3,1,1,1,0,1,0,0,0,0,0,3.75,4
CS,173,51495,Discrete Structures,0,5,6,1,6,5,1,1,1,1,1,0,1,0,2.93,4
CS,173,51496,Discrete Structures,1,6,12,6,3,1,1,1,0,1,0,0,0,0,3.42,4
CS,173,51497,Discrete Structures,0,3,5,3,9,8,3,2,0,0,0,0,0,0,3.02,4
CS,173,51498,Discrete Structures,0,5,7,3,4,4,1,4,0,0,1,0,1,0,2.99,4
CS,173,51499,Discrete Structures,0,4,7,4,8,1,4,4,1,2,1,1,0,0,2.84,4
CS,173,60278,Discrete Structures,1,7,7,8,3,6,2,1,1,3,1,1,0,0,3.01,4
CS,173,63143,Discrete Structures,4,7,7,6,5,3,2,1,0,1,2,2,1,1,3.02,4
CS,173,63144,Discrete Structures,0,4,5,4,7,4,3,3,1,4,1,0,1,0,2.71,3
CS,173,63145,Discrete Structures,2,8,7,6,3,4,4,3,2,0,0,0,0,1,3.18,4
CS,173,63146,Discrete Structures,1,6,4,5,4,3,3,7,0,1,2,0,0,2,2.88,4
CS,173,51500,Discrete Structures,1,5,6,7,4,5,0,1,0,0,0,0,0,0,3.33,4
CS,173,51469,Discrete Structures,2,3,3,3,3,4,2,4,1,0,0,1,1,0,2.8,4
CS,173,58923,Discrete Structures,2,3,2,0,5,7,4,3,3,0,0,1,0,0,2.73,3
CS,173,59602,Discrete Structures,4,5,3,3,4,2,3,1,2,1,0,0,0,1,3.14,4
CS,173,59603,Discrete Structures,3,8,0,7,3,2,0,2,0,0,0,1,0,2,3.32,4
CS,196,31508,Freshman Honors,25,89,0,2,1,0,0,4,0,0,0,0,0,1,3.91,4
CS,196,58187,Freshman Honors,2,15,0,0,2,1,0,0,0,0,0,0,1,1,3.65,4
CS,199,64386,Undergraduate Open Seminar,0,25,5,2,0,0,0,0,0,0,0,0,0,0,3.91,4
CS,210,31516,Ethical & Professional Issues,8,128,17,16,15,4,1,3,0,0,1,0,1,0,3.74,4
CS,225,35917,Data Structures,15,148,40,25,34,13,17,27,0,0,21,0,13,2,3.21,4
CS,225,35919,Data Structures,11,148,47,29,39,12,13,20,0,0,14,0,15,5,3.27,4
CS,233,63733,Computer Architecture,8,73,9,7,34,3,2,21,3,1,13,1,10,1,3.01,4
CS,233,64513,Computer Architecture,5,69,6,7,49,4,4,22,1,1,8,1,12,1,2.98,4
CS,241,45300,System Programming,26,28,16,24,12,8,5,5,5,3,8,5,6,3,3.03,4
CS,241,66268,System Programming,25,20,13,15,14,11,10,3,2,10,6,3,11,1,2.82,4
CS,242,45325,Programming Studio,4,40,53,32,17,6,11,6,0,1,0,0,1,2,3.41,4
CS,296,31518,Honors Course,0,53,0,0,0,0,0,2,0,0,0,0,0,2,3.93,4
CS,296,62763,Honors Course,2,8,7,1,0,1,2,1,1,1,0,0,1,0,3.25,4
CS,296,57758,Honors Course,5,22,7,3,0,0,0,0,0,0,0,0,0,0,3.88,4
CS,357,53280,Numerical Methods I,8,78,17,15,14,11,6,9,5,4,9,3,9,1,3.11,4
CS,357,63536,Numerical Methods I,4,35,3,3,1,1,3,2,2,7,3,1,0,0,3.23,4
CS,361,66298,Prob & Stat for Computer Sci,12,16,7,14,6,1,4,2,2,0,1,0,1,0,3.37,4
CS,374,66445,Intro to Algs & Models of Comp,14,45,27,31,38,42,53,40,33,38,17,5,14,1,2.5,3
CS,410,67393,Text Information Systems,36,24,4,2,0,0,0,2,0,0,0,0,1,0,3.85,4
CS,411,30109,Database Systems,16,23,48,17,30,26,6,6,13,5,4,5,7,0,2.98,4
CS,412,48711,Introduction to Data Mining,2,10,7,1,2,3,2,2,2,0,0,0,0,1,3.32,4
CS,412,43357,Introduction to Data Mining,21,24,24,23,28,16,10,8,2,0,2,0,4,2,3.22,4
CS,418,36119,Interactive Computer Graphics,6,28,25,22,24,19,8,9,4,0,11,0,6,2,2.96,4
CS,420,53685,Parallel Progrmg: Sci & Engrg,3,3,5,3,4,9,3,2,2,1,1,0,0,1,2.92,4
CS,421,30128,Progrmg Languages & Compilers,35,37,15,12,28,3,8,16,5,3,3,1,3,3,3.2,4
CS,424,51775,Real-Time Systems,4,13,10,6,3,3,1,0,0,0,1,0,0,0,3.55,4
CS,425,67394,Distributed Systems,3,3,5,9,3,5,0,0,0,0,0,0,1,1,3.26,4
CS,425,36091,Distributed Systems,14,18,46,36,40,20,2,0,0,0,0,0,1,0,3.37,4
CS,426,43355,Compiler Construction,0,11,4,7,3,5,2,0,0,0,0,0,0,0,3.43,4
CS,427,36104,Software Engineering I,9,16,21,16,25,15,17,5,2,1,0,0,1,0,3.14,4
CS,431,40667,Embedded Systems,3,9,2,11,16,7,8,7,3,0,5,0,3,0,2.74,3
CS,433,36069,Computer System Organization,5,9,3,2,3,5,0,0,0,0,1,0,0,0,3.48,4
CS,438,36061,Communication Networks,2,11,9,8,7,12,9,8,4,2,1,0,8,0,2.64,3
CS,440,36047,Artificial Intelligence,27,52,8,6,55,3,3,22,1,1,4,2,1,0,3.24,4
CS,440,67003,Artificial Intelligence,8,21,0,2,24,1,4,9,0,2,2,1,4,0,3,4
CS,446,46792,Machine Learning,9,41,25,63,13,11,0,5,0,0,2,0,4,1,3.38,4
CS,450,36016,Numerical Analysis,4,17,24,15,26,20,16,14,12,1,1,3,2,2,2.9,4
CS,461,49546,Computer Security I,15,24,11,14,42,9,7,23,3,0,8,0,3,0,2.95,4
CS,465,43388,User Interface Design,3,15,19,24,72,7,14,10,3,0,1,0,0,0,3.08,4
CS,466,51764,Introduction to Bioinformatics,9,18,14,9,15,4,3,5,1,0,0,0,0,0,3.4,4
CS,492,30139,Senior Project I,1,6,11,15,4,4,2,0,1,0,0,0,0,0,3.35,4
CS,498,61457,Digital Forensics,0,12,6,1,8,0,1,0,0,0,0,0,0,0,3.56,4
CS,498,65109,Theory II,2,7,8,7,11,10,2,1,0,1,1,0,1,0,3.09,4
CS,498,66333,Social & Information Networks,5,26,9,3,3,6,3,3,2,0,0,0,0,0,3.49,4
CS,498,65575,Intro to Data Science,11,9,15,3,0,0,0,0,0,0,0,0,0,0,3.82,4
CS,498,66825,The Art of Web Programming,4,22,11,19,13,9,8,1,6,1,1,0,0,1,3.2,4
CS,498,40091,Virtual Reality,0,81,49,31,12,1,1,0,0,0,0,0,0,0,3.71,4
CS,519,35905,Scientific Visualization,0,13,9,7,1,0,0,1,0,0,0,0,1,1,3.54,4
CS,527,35912,Topics in Software Engineering,4,8,3,2,2,1,0,0,0,0,0,0,1,0,3.54,4
CS,548,64710,Models of Cognitive Processes,1,18,3,2,2,0,0,0,0,0,0,0,0,0,3.83,4
CS,563,54597,Advanced Computer Security,0,24,0,0,1,0,0,1,0,0,0,0,0,1,3.88,4
CS,598,35989,Advanced Information Retrieval,6,17,9,4,3,1,0,0,0,0,0,0,0,0,3.75,4
CS,598,66832,Graphical Models,3,19,1,0,0,0,0,0,0,0,1,0,0,1,3.86,4
